67D24297 Columns
1DF2C803 ID_0
1DF2C802 ID_1
1DF2C801 ID_2
1DF2C800 ID_3
1DF2C807 ID_4
1DF2C806 ID_5
1DF2C805 ID_6
1DF2C804 ID_7
1DF2C80B ID_8
1DF2C80A ID_9
2730DB16 ID_10
287D3761 ID_Script
99A5D2F8 File_Name
BA00855E Quantity
2314E5A4 Texture
E2C1600E Color
D52EC5D6 Flag
3D803D2B Unknown
140315B2 ID
48259F31 Text1
17CA5A07 Text2
9C884D50 Unknown
736DD4F1 Path
BED38D69 Flag
453B930D Unknown
DB6115F7 Type
9967E222 Arguments
2E991C8C Unknown
D4B2D13C Unkonwn
94EEA386 Unknown
34AE8438 Unknown
104829B5 Model_Name
